Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
CN7,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,177.362,1019.69
CN10,1-534236-9,ECE298_REVTRANS38DIL-1,1-534236-9,BOT,0,2577.36,1021.26
U1,ECE298_UDAR_74HCT541,DIL20,,TOP,270,657.874,550
U2,ECE298_UDAR_CMOS4050,DIL16,,TOP,270,1134.25,634.252
C9,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,90,1181.1,671.26
J1,ECE298_UDAR_POWER_EXT5V,TBLOCK-I2,,TOP,180,556.693,1783.46
J2,SERVO_TILT,SIL-100-03,,TOP,180,2203.15,1779.53
J3,SERVO_PAN,SIL-100-03,,TOP,180,2203.15,1354.33
J5,JOYSTICK,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,90,2133.86,318.898
C4,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,180,553.15,1602.36
C6,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,-180,2112.2,2023.62
C7,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,180,2143.7,1157.48
C8,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,270,2244.09,399.606
J7,UART_PC,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,-270,1866.14,318.898
J8,US100,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,-270,1582.68,322.835
C10,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,270,1665.35,403.543
J9,ECE298_TERMINAL_VIA,PIN,,TOP,0,618.11,2153.54
J6,LASER,CONN-SIL2,,TOP,90,1787.4,1203.54
J4,RGB_LED,CON4_1X4_U_2563,NorComp 25630401RP2,TOP,90,1811.02,830.709
R1,1.1K,RESC5025X65,Digikey P1.1KWTR-ND,TOP,180,2127.95,1031.5
R2,1.1K,RESC5025X65,Digikey P1.1KWTR-ND,TOP,180,2127.95,846.457
R3,1.1K,RESC5025X65,Digikey P1.1KWTR-ND,TOP,180,2127.95,669.291
J10,ECE298_TERMINAL_VIA,PIN,,TOP,180,905.512,1303.15
J11,ECE298_TERMINAL_VIA,PIN,,TOP,180,1074.8,1299.21
J12,ECE298_TERMINAL_VIA,PIN,,TOP,180,1236.22,1303.15
J13,ECE298_TERMINAL_VIA,PIN,,TOP,180,1401.57,1303.15
J14,ECE298_TERMINAL_VIA,PIN,,TOP,180,1566.93,1299.21
J15,ECE298_TERMINAL_VIA,PIN,,TOP,180,1401.57,1125.98
J16,ECE298_TERMINAL_VIA,PIN,,TOP,180,1562.99,1125.98
J17,ECE298_TERMINAL_VIA,PIN,,TOP,180,1405.51,948.819
J18,ECE298_TERMINAL_VIA,PIN,,TOP,180,1574.8,952.756
J19,ECE298_TERMINAL_VIA,PIN,,TOP,180,1409.45,775.591
J20,ECE298_TERMINAL_VIA,PIN,,TOP,180,1574.8,783.465
J21,ECE298_TERMINAL_VIA,PIN,,TOP,180,1578.74,606.299
C1,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,180,494.094,1389.76
C2,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,-90,712.598,1277.56
C3,100u,CAPC4532X150,Digikey 445-1414-1-ND,BOT,0,462.598,1118.11
C5,0.1u,CAPC1005X55,Digikey 311-1047-1-ND,BOT,180,655.512,960.63
